manufacturer,lot_number,total_doses_shipped,source_rows,source_files,source_sheets
PFIZER,0012514001,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0012838,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0012A,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0012L,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0012M1A,1.0,1,2023-00157-A-PHS-New-data-set.xlsx,#3 Data
PFIZER,0012M21A,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,001308A,11.0,7,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,00130BA,22.0,10,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0013213,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,001321A,1.0,1,2023-00157-A-PHS-New-data-set.xlsx,#3 Data
PFIZER,00134776505,12.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,001358A,4.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,00135BA,3.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,001372011,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0013L,70.0,3,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,00142230,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0014232,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,001458260,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,001458A,10.0,6,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,00145BA,7.0,4,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0014628,29.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00147898,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0014C21A,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0014F21A,3.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,00152121A,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0015212A,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,001522A,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,00152752,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0015368201,4.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,001553,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,001558A,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,00155BA,6.0,3,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,00158A,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0015L,27.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
