lot_number,VAX_MANU,total_doses_shipped,reports,serious_reports,deaths,reports_per_million,serious_per_million,deaths_per_million,expected_serious,serious_oe_ratio,expected_deaths,death_oe_ratio,serious_oe_ci_low,serious_oe_ci_high
FJ4991,PFIZER\BIONTECH,7081066.0,699,55.0,4.0,98.71,7.77,0.56,206.59,0.266,30.77,0.13,0.196,0.337
FM0698,PFIZER\BIONTECH,15511209.0,1505,109.0,7.0,97.03,7.03,0.45,452.53,0.241,67.4,0.104,0.196,0.286
FK9896,PFIZER\BIONTECH,15880474.0,976,109.0,8.0,61.46,6.86,0.5,463.31,0.235,69.0,0.116,0.191,0.279
33030BD,PFIZER\BIONTECH,12802646.0,482,84.0,6.0,37.65,6.56,0.47,373.51,0.225,55.63,0.108,0.177,0.273
FJ5683,PFIZER\BIONTECH,8304968.0,391,48.0,4.0,47.08,5.78,0.48,242.29,0.198,36.09,0.111,0.142,0.254
33036BD,PFIZER\BIONTECH,10252153.0,386,45.0,4.0,37.65,4.39,0.39,299.1,0.15,44.55,0.09,0.106,0.194
FW1330,PFIZER\BIONTECH,232483.0,61,1.0,0.0,262.38,4.3,0.0,6.78,0.147,1.01,0.0,0.0,0.437
FP7140,PFIZER\BIONTECH,2342823.0,537,10.0,1.0,229.21,4.27,0.43,68.35,0.146,10.18,0.098,0.056,0.237
FT9142,PFIZER\BIONTECH,9218113.0,1280,39.0,2.0,138.86,4.23,0.22,268.94,0.145,40.05,0.05,0.1,0.191
33025BD,PFIZER\BIONTECH,8837557.0,409,37.0,4.0,46.28,4.19,0.45,257.83,0.144,38.4,0.104,0.097,0.19
FP7141,PFIZER\BIONTECH,1915604.0,480,7.0,0.0,250.57,3.65,0.0,55.89,0.125,8.32,0.0,0.032,0.218
FK5127,PFIZER\BIONTECH,42937475.0,3364,131.0,4.0,78.35,3.05,0.09,1252.69,0.105,186.57,0.021,0.087,0.122
FK5618,PFIZER\BIONTECH,36366750.0,2543,106.0,6.0,69.93,2.91,0.16,1060.99,0.1,158.02,0.038,0.081,0.119
FL0007,PFIZER\BIONTECH,41523590.0,1794,79.0,1.0,43.2,1.9,0.02,1211.44,0.065,180.43,0.006,0.051,0.08
